Rank,Title,Name of actors,Release date,Rating,Type,Duration,Region,Name of director,Cumulative income
72,七宗罪,"布拉德·皮特,摩根·弗里曼,格温妮斯·帕特洛",1995/9/22,8.7,剧情，悬疑，惊悚，犯罪,127分钟,美国,大卫·芬奇,暂无
73,春光乍泄,"张国荣,梁朝伟,张震",1997/5/30,9.2,剧情, 96分钟,韩国,王家卫,暂无
74,无间道,"刘德华,梁朝伟,黄秋生",2003/9/5,9.1,剧情，犯罪,101分钟,中国香港,刘伟强，麦兆辉,2万
75,爱在日落黄昏时,"伊桑·霍克,朱莉·德尔佩,弗农·多布切夫",2015/4/20,8.7,剧情，爱情, 80分钟,美国,理查德·林克莱特,暂无
76,穿条纹睡衣的男孩,"阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",2008/8/28,9,剧情，战争, 94分钟,美国,马克·赫尔曼，马克·鲁赫曼,暂无
77,心灵捕手,"罗宾·威廉姆斯,马特·达蒙,明妮·德里弗",1997/12/5,8.4,剧情,126分钟,美国,格斯·范·桑特,暂无
78,重庆森林,"梁朝伟,王菲,金城武",1994/7/14,8.6,剧情，悬疑，爱情,102分钟,中国香港,王家卫,暂无
79,剪刀手爱德华,"约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特",1990/12/6,8.8,剧情，爱情，奇幻,105分钟,美国,蒂姆·波顿,暂无
80,辩护人,"宋康昊,郭度沅,吴达洙",2013/12/18,8.8,剧情,127分钟,韩国,杨宇硕,暂无
81,控方证人,"泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿",1957/12/17,8.5,剧情，悬疑，犯罪,116分钟,美国,比利·怀德,暂无
82,素媛,"李甄,薛耿求,严智苑",2013/10/2,9.1,剧情,122分钟,韩国,李濬益，李俊益,暂无
83,波西米亚狂想曲,"拉米·马雷克,本·哈迪,约瑟夫•梅泽罗",2019/3/22,9.4,剧情，音乐，传记,134分钟,英国,布莱恩·辛格,9907万
84,时空恋旅人,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",2013/9/4,8.9,喜剧，爱情，奇幻,123分钟,英国,理查德·柯蒂斯,暂无
85,断背山,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",2005/9/2,8.9,剧情，爱情，家庭,134分钟,加拿大,李安,暂无
86,天空之城,"寺田农,鹫尾真知子,龟山助清",1992/5/1,9,动画，奇幻，冒险,125分钟,日本,宫崎骏,暂无
87,十二怒汉,"亨利·方达,李·科布,马丁·鲍尔萨姆",1957/4/13,9.1,剧情，悬疑,159分钟,美国,西德尼·吕美特,暂无
88,两杆大烟枪,"杰森·弗莱明,德克斯特·弗莱彻,杰森•斯坦森",1998/8/28,8.7,惊悚，剧情，犯罪，喜剧,107分钟,英国,盖·里奇,暂无
89,蝙蝠侠：黑暗骑士,"克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",2008/7/14,9.3,剧情，动作，科幻，惊悚,152分钟,英国,克里斯托弗·诺兰,暂无
90,猫鼠游戏,"莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯",2003/4/11,8.6,剧情，传记，犯罪,141分钟,加拿大,史蒂文·斯皮尔伯格,1200万
91,血战钢锯岭,"安德鲁·加菲尔德,雨果·维文,卢克·布雷西",2016/12/8,9.3,剧情，战争，历史，传记,139分钟,美国,梅尔·吉布森,42582万
92,真爱至上,"休·格兰特,比尔·奈伊,连姆·尼森",2003/11/21,8.6,剧情，喜剧，爱情,135分钟,法国,理查德·柯蒂斯,暂无
93,奇迹男孩,"雅各布·特瑞布雷,朱莉娅·罗伯茨,欧文·威尔逊",2018/1/19,9.2,剧情，家庭,113分钟,美国,斯蒂芬·卓博斯基,19151万
94,大鱼,"伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格",2003/12/4,8.6,奇幻,125分钟,美国,蒂姆·波顿,暂无
95,钢琴家,"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",2002/5/24,8.9,剧情，音乐，传记，战争,150分钟,波兰,罗曼·波兰斯基,暂无
96,饮食男女,"郎雄,吴倩莲,杨贵媚",1994/8/3,8.8,剧情，家庭,124分钟,美国,李安,暂无
97,网络谜踪,"约翰·赵,米切尔·拉,黛博拉·梅辛",2018/12/14,8.6,剧情，悬疑，犯罪,102分钟,美国,阿尼什·查甘蒂,3049万
98,致命魔术,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",2006/10/17,8.8,剧情，悬疑，惊悚,130分钟,英国,克里斯托弗·诺兰,暂无
99,模仿游戏,"本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪",2015/7/21,9.3,剧情，战争，传记,114分钟,英国,莫滕·泰杜姆,5247万
100,禁闭岛,"莱昂纳多·迪卡普里奥,马克·鲁法洛,本·金斯利",2010/2/13,8.7,剧情，悬疑，惊悚,138分钟,美国,马丁·斯科塞斯,暂无
